gene
PA0831
PA0139
PA2305
PA4678
PA2624
PA2101
PA4021
PA4803
PA1216
PA0402
PA0541
PA5530
PA0923
PA1217
PA3608
PA1675
PA4275
PA0290
PA3828
PA2105
PA0126
PA2573
PA5205
PA3900
PA5059
PA4654
PA2352
PA4568
PA1807
PA3633
PA0437
PA4055
PA2243
PA1343
PA1276
PA1981
PA5058
PA0479
PA0090
PA1326
PA0636
PA4669
PA3476
PA1941
PA4760
PA2756
PA3836
PA3334
PA2299
PA3634
PA3650
PA1572
PA4579
PA1900
PA5048
PA1293
PA0951
PA0094
PA1791
PA1471
PA3637
PA4817
PA4535
PA3436
PA2797
PA5446
PA2979
PA2533
PA2975
PA3896
PA1872
PA2558
PA3815
PA0559
PA2058
PA1786
PA3295
PA1658
PA2003
PA1725
PA3339
PA0283
PA1051
PA1368
PA5094
PA5341
PA2304
PA3016
PA3767
PA0592
PA1317
PA2454
PA1531
PA0874
PA4274
PA1894
PA1915
PA0230
PA0932
PA3882
PA4526
PA0087
PA0308
PA1592
PA1425
PA0485
PA4026
PA3008
PA3468
PA0768
PA4142
PA2628
PA1359
PA5053
PA2312
PA0862
PA2223
PA2261
PA4352
PA4600
