gene,log2FoldChange,padj
PA4211,-2.985818248513,4.82672472851513e-9
PA0902,-1.21840347380993,5.03722704530238e-9
PA0559,1.3280171919727,5.60289094504701e-9
PA3127,-1.36023818421929,5.70416269842592e-9
PA1791,1.35701864797748,5.87017462291206e-9
PA3049,-1.6618216489399,5.98185647969544e-9
PA2376,1.43921819587898,6.08376054374403e-9
PA3824,1.2974137198734501,6.34880305871406e-9
PA2915,-1.42226184441926,6.42337433619716e-9
PA1505,-0.946793226396238,6.75638027346964e-9
PA0081,1.01168089877451,6.79766786521334e-9
PA0944,0.924017964154274,7.2285597729869e-9
PA4669,1.73833535875368,7.2285597729869e-9
PA3068,-1.29831650622435,7.58770342612678e-9
PA5024,1.18283868417875,7.62619947806438e-9
PA0407,-1.09790786321409,8.03810110935657e-9
PA1174,-1.43866631262686,9.71394481053045e-9
PA3099,-1.59853872876862,9.71394481053045e-9
PA1576,-1.13613657499576,9.9353484309445e-9
PA0090,1.09649039661195,1.05985312581422e-8
PA0283,0.941088411779402,1.12064132407006e-8
PA4142,-1.79918801367389,1.14801440939441e-8
PA0815,-1.0622860281432,1.22371541643996e-8
PA3924,-1.32119137689522,1.34262942165842e-8
PA2027,1.89974592074888,1.35215133966552e-8
PA3744,0.935340792001454,1.35215133966552e-8
PA0862,-0.940692705544703,1.35944178237832e-8
PA3031,-1.48720265004955,1.36641073099062e-8
PA5183,1.60426115956205,1.42506987827605e-8
PA0167,-1.18813710220299,1.51966064456532e-8
PA4719,1.14194867175364,1.54898944704856e-8
PA0976,1.44773980974613,1.59555207165079e-8
PA2025,-0.942605581743996,1.68674995559723e-8
PA1292,-1.09365925187711,1.7494781752033e-8
PA4195,1.51715523816704,1.76360298338462e-8
PA2629,1.09924821501735,1.88800950386374e-8
PA2865,0.947003854765083,1.90746579650673e-8
PA0644,2.07763278174772,1.97068048412195e-8
PA2988,1.21181982854944,2.1558984238853e-8
PA0784,-0.979616677957782,2.27166567245312e-8
PA4433,1.35118029978898,2.41876055160645e-8
PA4452,1.13055962767619,2.53282352772575e-8
PA1051,1.85801508431366,3.33065394574757e-8
PA4193,1.61943455137803,3.57053159073763e-8
PA0382,1.03433471740882,3.66204688772611e-8
PA4154,1.66192015152244,3.66204688772611e-8
PA0085,1.08936809487447,3.67774428187466e-8
PA3239,-1.40142162857096,3.91785539058515e-8
PA0315,-0.923455098943012,4.57648747119535e-8
PA1325,1.27948217865466,4.60894128613683e-8
PA0851,-1.21073433645312,4.90572994188998e-8
PA4632,1.17364880301022,5.70328152485664e-8
PA0867,-1.10476556907983,5.98318656345864e-8
PA3921,-1.0596080184314,5.98318656345864e-8
PA3123,-1.22122540495998,6.13534237056611e-8
PA3621,2.06853704465339,6.52952806101959e-8
PA4588,-0.854250773925292,6.52952806101959e-8
PA1247,-1.83844367932646,6.95947011249822e-8
PA0013,1.59158134339108,7.31830652826689e-8
PA4079,-0.907611712743089,7.31830652826689e-8
PA4175,-1.6907450639155,7.31830652826689e-8
PA4275,1.05818788994928,7.64469268117509e-8
PA4718,1.17584298086686,8.18895503693631e-8
PA2366,-2.1952959352825,8.2645386256413e-8
PA1874,-2.10225217167971,8.4402090400602e-8
PA3700,0.855890389858571,8.54604752474386e-8
PA3029,-1.19692609435451,9.55959485862744e-8
PA1648,-1.54403557869898,1.05597683354416e-7
PA1752,-0.969983264149959,1.05597683354416e-7
PA5307,-0.850923767256525,1.05597683354416e-7
PA4629,1.89394601174605,1.11504253341816e-7
PA4047,0.849143120345574,1.13913222218132e-7
PA0592,0.853162254701845,1.22966869150289e-7
PA5376,-1.06328367143524,1.27144107514112e-7
PA2050,1.34757078895556,1.3322265152459e-7
PA2504,-1.4156741054669,1.35453850385892e-7
PA3039,1.62729880698257,1.46567066024476e-7
PA0282,0.893099202551043,1.48408621271721e-7
PA1293,-1.06249205695526,1.48408621271721e-7
PA1939,-1.24266499109403,1.50718744658864e-7
PA1248,-1.52242579265396,1.52683243777205e-7
PA3654,0.91846707124615,1.52683243777205e-7
PA3607,1.54496554150783,1.53984657772974e-7
PA4587,-1.76749087731237,1.55126520929942e-7
PA2240,0.942053264838039,1.5546724571062e-7
PA3886,-1.25918601209241,1.63700152864975e-7
PA3455,-1.12351123457318,1.67092799749769e-7
PA4456,0.930057745558637,1.72959281156725e-7
PA5194,1.26911034337595,1.75617999906981e-7
PA4194,1.57694615418386,1.77981204617664e-7
PA0459,-1.50524134456895,1.78162124875613e-7
PA5359,-1.24074125846544,1.92541278856803e-7
PA3819,1.2700350045099,1.92915374093065e-7
PA4054,-0.874141509757578,2.05785817090452e-7
PA4113,1.06510544110463,2.10853005808409e-7
PA4640,1.00378323762991,2.13409117856885e-7
PA3064,1.57194090067723,2.24858220310516e-7
PA3979,1.38559077950222,2.33383570231152e-7
PA1978,2.75666210378834,2.55616786286596e-7
PA3007,1.18732596522212,2.56929713893133e-7
PA0168,-1.43393825592662,2.63659610047714e-7
PA4636,1.1882862688851,2.77652955745923e-7
PA3102,-1.03546248677964,3.45259573172634e-7
PA0774,1.11995915229954,3.52733383347088e-7
PA3008,0.89402699716673,3.52733383347088e-7
PA0079,1.16751841894286,3.86709487817444e-7
PA1790,1.16513964315816,4.08052431379655e-7
PA1796,0.965456907019292,4.09572586763401e-7
PA4952,0.962469864587587,4.16186809151703e-7
PA0783,0.972611892902734,4.16877980679055e-7
PA1542,1.82984738475656,4.21662178478939e-7
PA1737,-1.14456499278921,4.26404106915798e-7
PA3742,1.06583887487963,4.30637266177445e-7
PA5285,1.36710347123578,4.30637266177445e-7
PA5296,1.37193203948944,4.48702794475388e-7
PA1332,2.25117914512753,4.72914405879486e-7
PA1132,1.30701035604883,4.89798598286152e-7
PA0176,-1.5087770386308,5.02039635825371e-7
PA5056,-1.33495480209566,5.06592904964794e-7
PA4389,-1.13072995778152,5.53101084581429e-7
PA3391,2.44377709322373,5.6987503165427e-7
PA3636,0.940116516835802,5.6987503165427e-7
PA1890,-1.05787293338846,5.70409750441676e-7
PA3028,-1.18529281394624,5.81245659998211e-7
PA5139,1.12903393674116,5.85999609266771e-7
PA5452,-0.843715315453542,6.05461052146742e-7
PA0446,-1.32379063840165,6.43423225342333e-7
PA2591,-1.32243260719308,6.77109146380508e-7
PA1698,1.73067833990402,6.81659555636928e-7
PA0945,1.00159158406649,6.83705751380493e-7
PA0233,-1.17290575180271,7.01265515027457e-7
PA0968,1.51778267049387,7.13371797145015e-7
PA4145,-1.10731284034293,7.30361447339452e-7
PA2068,-2.09811234180221,7.96094690510036e-7
PA1299,1.19289018305367,7.99893425380134e-7
PA4922,-1.47455377089109,8.16777339319896e-7
PA1377,-1.04814465069624,8.21326215714047e-7
PA0088,0.993158368877583,8.41891055818825e-7
PA0326,2.17992272704482,8.44464743076318e-7
PA1624,-1.21970607278002,8.59388441314601e-7
PA1951,-1.66954483353231,8.59388441314601e-7
PA2575,-1.4259233764039,8.59388441314601e-7
PA2815,-1.24074018951092,9.30986867277761e-7
PA2071,-1.19594131703593,9.37107745140018e-7
PA4700,0.850379070073051,9.46576866263037e-7
PA4292,1.37445319959102,9.58893488435658e-7
PA2259,-0.948469908895076,9.60416546752919e-7
PA1188,-1.14474282787422,9.80213717495377e-7
PA2236,0.804903678019218,1.03531536615916e-6
PA2587,-1.02795481009963,1.07529855260702e-6
PA1655,-1.37063424020591,1.11207800977164e-6
PA2897,-0.925747614875271,1.11207800977164e-6
PA1004,0.952471660656884,1.11833278343005e-6
PA0913,1.20922243219249,1.16133194266545e-6
PA2781,-1.11699281499372,1.21423814012348e-6
PA0947,1.2101077161566,1.23718885323234e-6
PA3746,0.816970777546221,1.24804293944002e-6
PA3018,1.28435758192177,1.26497981716209e-6
PA4733,-0.964025160312724,1.26775357417022e-6
PA1944,-1.08634342104954,1.28987891708433e-6
PA4432,1.11761092602119,1.37741989147035e-6
PA4306,-2.82835246759074,1.41276881427961e-6
PA4768,1.14530038674978,1.53054084051618e-6
PA3810,0.858572332570201,1.60591716797346e-6
PA3623,-1.0734568426756,1.63185877972029e-6
PA4129,-0.984470751094204,1.70948692707096e-6
PA2205,1.84234791703419,1.86904859017085e-6
PA1197,-1.35024282710791,1.92106299430048e-6
PA3723,-1.3995031794795,2.00642763481583e-6
PA5530,-1.27774687180564,2.00642763481583e-6
PA3846,-1.13347809579523,2.01675174152463e-6
PA1476,1.18819311802912,2.06216832909291e-6
PA1235,-1.22778330357029,2.14354762774518e-6
PA0582,1.02506049551711,2.19139767990173e-6
PA5561,1.30625904269846,2.22026430141133e-6
PA0413,-0.855665772368015,2.24267662206718e-6
PA1833,-0.898740848945609,2.24267662206718e-6
PA3096,-0.946419356366092,2.25667638369398e-6
PA1687,1.10111631713927,2.27366677130809e-6
PA4940,1.08622385312527,2.31819384635896e-6
PA0070,1.02907551508491,2.37145409663299e-6
PA1305,0.935599765805682,2.37145409663299e-6
PA4873,1.28438502033074,2.45396218278381e-6
PA1135,-1.63309880018673,2.50949143520036e-6
PA1839,1.02976505032736,2.52013969621788e-6
PA2367,-1.99959615173786,2.52013969621788e-6
PA3970,-1.12650069617428,2.55669798849627e-6
PA1117,1.11038011969243,2.61218816585365e-6
PA2716,-1.48545830281928,2.62751192399239e-6
PA4480,0.841131724236316,2.62751192399239e-6
PA4711,1.05081872149732,2.71378915687397e-6
PA3248,-1.32203776126943,2.78155341081922e-6
PA3449,1.59185567556082,2.78155341081922e-6
PA2876,0.966905803000505,2.8363225156411e-6
PA1382,1.39510999611237,2.96252443348006e-6
PA4378,0.834769554141424,2.97488436513695e-6
PA4030,0.949185329940101,3.08029745981284e-6
PA2993,1.0139598977529,3.41291461339084e-6
PA2699,-1.88513677671659,3.49037775326665e-6
PA4517,1.20972692734219,3.63100834929033e-6
PA1751,-1.01965400305726,3.71998336422815e-6
PA2369,-1.7061937515924,3.75430696313601e-6
PA3828,0.804432611432487,4.01168269502089e-6
PA2990,-0.902413856546909,4.10278091028452e-6
PA2904,1.32575115271217,4.15386850561817e-6
PA3610,1.63551886621793,4.36966031592776e-6
PA2261,-1.28362658935577,4.66601305225927e-6
PA2373,-1.31364253028266,4.79250167023001e-6
PA0656,-1.65922670204452,4.99634780227377e-6
PA4578,-1.17371036268025,5.15349930308277e-6
PA4734,-0.899894398550724,5.19617140496112e-6
PA1654,-0.950877939502678,5.35358598501388e-6
PA3938,0.954942423142106,5.39675013966969e-6
PA4536,-1.17659397464955,5.47833568853969e-6
PA2571,-1.27130735365489,5.595255816613e-6
PA2624,1.27925819052171,6.09016503828618e-6
PA0087,1.00729965870564,6.31453885117637e-6
PA0654,1.15212819807365,6.53901644187554e-6
PA4887,0.906439631014277,6.69262183308917e-6
PA3923,-1.0271091977191,6.80016504813883e-6
PA2798,0.802887706491158,6.81594366103061e-6
PA5271,-0.996940435203878,6.83744840027579e-6
PA0835,-1.0234328230524,7.31470838392684e-6
PA0076,1.30690182907547,7.33151978148415e-6
PA2235,0.807483393354078,7.36005805479526e-6
PA0078,1.22791001371415,7.39837240267461e-6
PA0130,-1.02883121431773,7.4346671230556e-6
PA0018,0.945462013394821,7.69201735318207e-6
PA1982,2.45287238334787,7.73076742996659e-6
PA2829,1.26496748996251,7.7417368672822e-6
PA1786,1.66638888927409,7.78008720560578e-6
PA1357,-1.28364637148888,7.97202136908564e-6
PA3919,-1.42823764040089,8.05454193454205e-6
PA5292,-1.13334477536934,8.05454193454205e-6
PA4201,-1.06375591755342,8.45708841755029e-6
PA5426,1.03776602097371,8.62311844197564e-6
PA2234,0.96689132121004,9.40230039174522e-6
PA3414,1.27922678446869,9.44010067031698e-6
PA0861,-0.858035253085255,9.59757640123252e-6
PA0607,1.54843855290832,9.7938784065934e-6
PA4746,1.27328888111767,9.89710848074223e-6
PA2696,-1.43449431190747,1.03141258138011e-5
PA4277,0.832829468901646,1.03961220351965e-5
PA2363,-1.15865276236704,1.04738287781294e-5
PA1125,-1.78679464666185,1.05687140663647e-5
PA1901,-3.06022805179928,1.08597078873636e-5
PA4829,-1.34097651745881,1.08801339852768e-5
PA5503,0.910382556658001,1.11426725076484e-5
PA0271,-1.56339890606111,1.12433803356078e-5
PA2222,-1.3581401292083,1.15503283294067e-5
PA1590,0.861289427519169,1.15671156746041e-5
PA2693,1.68635408657748,1.19427520537807e-5
PA3484,0.950052684033896,1.19829245987483e-5
PA1275,1.40638205911203,1.20424012626616e-5
PA1214,-1.61121477898709,1.22396474366003e-5
PA1048,-0.811835857526121,1.2331859735748e-5
PA2223,-1.32920115542801,1.26121752731143e-5
PA1431,-1.56344810893644,1.28823616521683e-5
PA4562,0.909319762867322,1.28823616521683e-5
PA3432,1.28674356122002,1.29667616030378e-5
PA1697,1.75481434457968,1.29786211731972e-5
PA2379,-0.829513318361194,1.29882801083442e-5
PA1245,-1.50287953174325,1.3098592540641e-5
PA2260,-1.07532761046033,1.34112176258045e-5
PA2631,0.877664005771987,1.34359739652513e-5
PA0178,-1.19481273206314,1.35768380636435e-5
PA0737,2.10925601945966,1.43544020310752e-5
PA4176,-1.02427255946838,1.43544020310752e-5
PA1818,-0.865906427641569,1.46162355662037e-5
PA1963,-1.12681371870428,1.46598586017763e-5
PA2573,-1.1752326298634,1.46960127141412e-5
PA2233,0.826689481486676,1.50663685377896e-5
PA2022,1.60238093964847,1.55516971010025e-5
PA0071,0.860265710967788,1.56835634022957e-5
PA4308,-0.983686147166797,1.57451000621333e-5
PA0647,1.73769908717453,1.63856740648722e-5
PA1672,-0.888512959901511,1.67140239834461e-5
PA3695,-0.873990569457737,1.71423141789632e-5
PA4631,0.883241604325186,1.73268152286792e-5
PA3255,-0.88398330481582,1.74053873043136e-5
PA0042,1.16851396385729,1.92319821252425e-5
PA1218,-2.08844938503674,1.93671603140047e-5
PA3448,1.35343270818702,1.94896216330586e-5
PA0344,-1.03723511216012,1.9804334563749e-5
PA4582,0.99397599174685,2.02228974562747e-5
PA0834,0.93526674264866,2.03348504353353e-5
PA3848,-0.955992892007853,2.04839069655371e-5
PA2365,-1.75290577107882,2.07476759265105e-5
PA2035,-1.28488144143806,2.30814977761631e-5
PA3697,-0.809145451262642,2.34291353878573e-5
PA0470,0.901511940840105,2.37914170274911e-5
PA1824,1.55536303515326,2.41593591192134e-5
PA2231,1.1987896806907,2.46511886927842e-5
PA3489,1.20589284722033,2.48098631786529e-5
PA0951,-0.824969812923312,2.59396629444119e-5
PA1807,-0.800957079483862,2.59396629444119e-5
PA3608,1.50241588605936,2.59396629444119e-5
PA3612,1.04885892379455,2.59663644985845e-5
PA3194,-0.994767632770825,2.61578041962333e-5
PA3119,0.979607786562383,2.68117207830767e-5
PA5028,-0.911390328203105,2.69303365330045e-5
PA3858,-0.960451034933347,2.94351713907767e-5
PA1333,2.18124347846528,3.03027780259896e-5
PA2806,1.11683137661453,3.03027780259896e-5
PA1163,0.953649264324923,3.05874111132727e-5
PA3475,-0.930255822709274,3.05874111132727e-5
PA3655,0.804889864350361,3.06672990131503e-5
PA3696,-0.866073741950641,3.06672990131503e-5
PA3268,1.30030403591255,3.11558241486655e-5
PA0870,-0.852631811852411,3.12195199032323e-5
PA4179,2.23079756560779,3.14611165214715e-5
PA2481,-1.25347161979648,3.18552941912019e-5
PA0810,-1.23133333243025,3.23129553900278e-5
PA4384,-2.15387485272887,3.24602005684731e-5
PA5434,0.804360296092887,3.26347158596359e-5
PA2906,1.36652994960378,3.28343017362741e-5
PA3802,0.932570801384342,3.28343017362741e-5
PA4897,1.12173370434777,3.30270376379032e-5
PA3445,1.1262035934392,3.30604812779399e-5
PA3427,-1.07556917221727,3.50751313001956e-5
PA2529,-0.804810805424613,3.51401780936016e-5
PA3634,0.901054306823746,3.51401780936016e-5
PA0230,-0.954375994314966,3.51709934431524e-5
PA0485,0.837736989630563,3.52132387977456e-5
PA3295,-0.945023493294081,3.58498633402336e-5
PA3059,1.27196659721725,3.60297685133817e-5
PA3063,1.35025328430282,3.60465887493817e-5
PA2813,-0.925656016480799,3.64070375996659e-5
PA2378,-1.08597102956375,3.66492858652519e-5
PA3745,1.14762096455172,3.66492858652519e-5
PA0232,-1.34176384864053,3.72284464759869e-5
PA2345,-1.33956192568613,3.86995152733161e-5
PA5356,-0.965970503849802,3.88024916786741e-5
PA1157,0.803063109825134,3.89322874687234e-5
PA3535,-1.09471599202935,3.98756776690518e-5
PA0910,1.79126043056693,4.11249139236307e-5
PA0177,-1.44123509265177,4.19775479008564e-5
