	protein1	protein2	cost
41129	PA14_44000	PA14_66900	1.5
41130	PA14_44000	PA14_70730	1.5
41131	PA14_44000	PA14_73290	1.5
41132	PA14_42760	PA14_43970	1.5
41133	PA14_29940	PA14_43970	1.5
41134	PA14_29890	PA14_43970	1.5
41135	PA14_23850	PA14_43970	1.5
41136	PA14_18610	PA14_43970	1.5
41137	PA14_12120	PA14_43970	1.5
41138	PA14_43970	PA14_61400	1.5
41139	PA14_43970	PA14_61710	1.5
41140	PA14_43970	PA14_62600	1.5
41141	PA14_43970	PA14_62830	1.5
41142	PA14_43970	PA14_63990	1.5
41143	PA14_43970	PA14_66610	1.5
41144	PA14_43970	PA14_67600	1.5
41145	PA14_43970	PA14_68730	1.5
41146	PA14_43970	PA14_68740	1.5
41147	PA14_43970	PA14_68770	1.5
41148	PA14_43970	PA14_71650	1.5
41149	PA14_43970	PA14_73240	1.5
41150	PA14_36710	PA14_43950	1.5
41151	PA14_33860	PA14_43950	1.5
41152	PA14_29920	PA14_43950	1.5
41153	PA14_25880	PA14_43950	1.5
41154	PA14_23070	PA14_43950	1.0
41155	PA14_22890	PA14_43950	1.5
41156	PA14_20180	PA14_43950	1.5
41157	PA14_20140	PA14_43950	1.5
41158	PA14_43950	PA14_68580	1.5
41159	PA14_43950	PA14_70040	1.5
41160	PA14_43950	PA14_70730	1.5
41161	PA14_43950	PA14_73300	1.5
41162	PA14_30180	PA14_43940	1.5
41163	PA14_29970	PA14_43940	1.5
41164	PA14_29940	PA14_43940	1.5
41165	PA14_29920	PA14_43940	1.5
41166	PA14_29890	PA14_43940	1.5
41167	PA14_43940	PA14_69200	1.0
41168	PA14_43940	PA14_73300	1.5
41169	PA14_43940	PA14_73310	1.5
41170	PA14_43840	PA14_43850	1.5
41171	PA14_41390	PA14_43850	1.5
41172	PA14_14780	PA14_43850	1.5
41173	PA14_09890	PA14_43850	1.5
41174	PA14_17270	PA14_43690	1.5
41175	PA14_17190	PA14_43690	1.5
41176	PA14_43690	PA14_64100	1.5
41177	PA14_43690	PA14_64110	1.5
41178	PA14_33000	PA14_43680	1.5
41179	PA14_25690	PA14_43680	1.5
41180	PA14_23860	PA14_43680	1.5
41181	PA14_43680	PA14_65500	1.5
41182	PA14_25690	PA14_43640	1.5
41183	PA14_17675	PA14_43640	1.5
41184	PA14_43640	PA14_64100	1.5
41185	PA14_43640	PA14_65480	1.5
41186	PA14_43640	PA14_66080	1.5
41187	PA14_43600	PA14_43610	1.5
41188	PA14_43580	PA14_43610	1.5
41189	PA14_43520	PA14_43530	1.5
41190	PA14_43480	PA14_43490	1.5
41191	PA14_43320	PA14_43380	1.5
41192	PA14_43350	PA14_60250	1.5
41193	PA14_43350	PA14_67680	1.5
41194	PA14_43350	PA14_68680	1.5
41195	PA14_43350	PA14_69480	1.5
41196	PA14_43320	PA14_43340	1.5
41197	PA14_39980	PA14_43340	1.5
41198	PA14_34440	PA14_43340	1.5
41199	PA14_32060	PA14_43340	1.5
41200	PA14_30820	PA14_43340	1.5
41201	PA14_22940	PA14_43340	1.5
41202	PA14_18110	PA14_43340	1.5
41203	PA14_17940	PA14_43340	1.5
41204	PA14_10290	PA14_43340	1.5
41205	PA14_43340	PA14_67670	1.5
41206	PA14_43340	PA14_69470	1.5
41207	PA14_43340	PA14_70750	1.5
41208	PA14_41380	PA14_43280	1.5
41209	PA14_25540	PA14_43280	1.5
41210	PA14_24270	PA14_43280	1.5
41211	PA14_19050	PA14_43280	1.5
41212	PA14_09030	PA14_43280	1.5
41213	PA14_08940	PA14_43280	1.5
41214	PA14_43280	PA14_61790	1.5
41215	PA14_43280	PA14_62740	1.5
41216	PA14_43280	PA14_70190	1.5
41217	PA14_42950	PA14_42990	1.5
41218	PA14_42940	PA14_42990	1.5
41219	PA14_42970	PA14_42980	1.5
41220	PA14_42890	PA14_42980	1.5
41221	PA14_42900	PA14_42950	1.5
41222	PA14_42880	PA14_42890	1.5
41223	PA14_14680	PA14_42880	1.5
41224	PA14_08820	PA14_42880	1.5
41225	PA14_41350	PA14_42850	1.5
41226	PA14_25970	PA14_42850	1.5
41227	PA14_12400	PA14_42850	1.5
41228	PA14_12130	PA14_42850	1.5
41229	PA14_12120	PA14_42850	1.5
41230	PA14_42850	PA14_58780	1.5
41231	PA14_42850	PA14_61750	1.5
41232	PA14_42850	PA14_62590	1.5
41233	PA14_42850	PA14_64650	1.5
41234	PA14_42750	PA14_42760	1.5
41235	PA14_42740	PA14_42760	1.5
41236	PA14_42720	PA14_42760	1.5
41237	PA14_42690	PA14_42760	1.5
41238	PA14_33000	PA14_42760	1.5
41239	PA14_30110	PA14_42760	1.5
41240	PA14_25090	PA14_42760	1.5
41241	PA14_23850	PA14_42760	1.5
41242	PA14_18740	PA14_42760	1.5
41243	PA14_18610	PA14_42760	1.5
41244	PA14_16070	PA14_42760	1.5
41245	PA14_14700	PA14_42760	1.5
41246	PA14_12120	PA14_42760	1.5
41247	PA14_42760	PA14_57710	1.5
41248	PA14_42760	PA14_60890	1.5
41249	PA14_42760	PA14_62130	1.5
41250	PA14_42760	PA14_62160	1.5
41251	PA14_42760	PA14_62930	1.5
41252	PA14_42760	PA14_62940	1.5
41253	PA14_42760	PA14_66950	1.5
41254	PA14_42760	PA14_67350	1.5
41255	PA14_42760	PA14_72510	1.5
41256	PA14_42730	PA14_42740	1.5
41257	PA14_16070	PA14_42720	1.5
41258	PA14_42720	PA14_60890	1.5
41259	PA14_42720	PA14_66950	1.5
41260	PA14_42720	PA14_71060	1.5
41261	PA14_40120	PA14_42700	1.5
41262	PA14_30660	PA14_42700	1.5
41263	PA14_18700	PA14_42700	1.5
41264	PA14_17530	PA14_42700	1.5
41265	PA14_09200	PA14_42700	1.5
41266	PA14_42700	PA14_62990	1.5
41267	PA14_42700	PA14_72490	1.5
41268	PA14_23930	PA14_42690	1.5
41269	PA14_16090	PA14_42690	1.5
41270	PA14_16070	PA14_42690	1.5
41271	PA14_42690	PA14_62600	1.5
41272	PA14_42690	PA14_63990	0.5
41273	PA14_42690	PA14_68330	1.5
41274	PA14_42690	PA14_71650	1.5
41275	PA14_42670	PA14_42680	1.5
41276	PA14_42640	PA14_42660	1.5
41277	PA14_42620	PA14_42660	1.5
41278	PA14_42610	PA14_42660	1.5
41279	PA14_42600	PA14_42660	1.5
41280	PA14_42580	PA14_42660	1.5
41281	PA14_42500	PA14_42660	1.5
41282	PA14_42310	PA14_42660	1.5
41283	PA14_42300	PA14_42660	1.5
41284	PA14_15960	PA14_42660	1.5
41285	PA14_42620	PA14_42640	1.5
41286	PA14_42610	PA14_42640	1.5
41287	PA14_42600	PA14_42640	1.5
41288	PA14_42580	PA14_42640	1.5
41289	PA14_42570	PA14_42640	1.5
41290	PA14_27090	PA14_42640	1.5
41291	PA14_42610	PA14_42620	1.5
41292	PA14_42570	PA14_42620	1.5
41293	PA14_42310	PA14_42620	1.5
41294	PA14_15960	PA14_42620	1.5
41295	PA14_42580	PA14_42610	1.5
41296	PA14_42570	PA14_42610	1.5
41297	PA14_42390	PA14_42610	1.5
41298	PA14_42300	PA14_42610	1.5
41299	PA14_24040	PA14_42610	1.5
41300	PA14_42580	PA14_42600	1.5
41301	PA14_42480	PA14_42600	1.5
41302	PA14_42390	PA14_42600	1.5
41303	PA14_24100	PA14_42600	1.5
41304	PA14_42570	PA14_42580	1.5
41305	PA14_42390	PA14_42570	1.5
41306	PA14_42350	PA14_42570	1.5
41307	PA14_42300	PA14_42570	1.5
41308	PA14_42570	PA14_66970	1.5
41309	PA14_42530	PA14_42550	1.5
41310	PA14_42510	PA14_42550	1.5
41311	PA14_42490	PA14_42550	1.5
41312	PA14_42530	PA14_42540	1.5
41313	PA14_42490	PA14_42540	1.5
41314	PA14_42450	PA14_42540	1.5
41315	PA14_42520	PA14_42530	1.5
41316	PA14_42500	PA14_42530	1.5
41317	PA14_42490	PA14_42530	1.5
41318	PA14_42480	PA14_42530	1.5
41319	PA14_42470	PA14_42530	1.5
41320	PA14_42460	PA14_42530	1.5
41321	PA14_42490	PA14_42520	1.5
41322	PA14_42450	PA14_42520	1.5
41323	PA14_42440	PA14_42520	1.5
41324	PA14_42490	PA14_42510	1.5
41325	PA14_42480	PA14_42510	1.5
41326	PA14_42470	PA14_42510	1.5
41327	PA14_42460	PA14_42510	1.5
41328	PA14_42480	PA14_42500	1.5
41329	PA14_42450	PA14_42490	1.5
41330	PA14_42440	PA14_42490	1.5
41331	PA14_42450	PA14_42480	1.5
41332	PA14_24010	PA14_42480	1.5
41333	PA14_23980	PA14_42480	1.5
41334	PA14_42460	PA14_42470	1.5
41335	PA14_42440	PA14_42470	1.5
41336	PA14_42290	PA14_42470	1.5
41337	PA14_08695	PA14_42470	1.5
41338	PA14_42460	PA14_66970	1.5
41339	PA14_27090	PA14_42450	1.5
41340	PA14_42450	PA14_66970	1.5
41341	PA14_42440	PA14_66970	1.5
41342	PA14_08930	PA14_42430	1.5
41343	PA14_08910	PA14_42430	1.5
41344	PA14_08750	PA14_42430	1.5
41345	PA14_42430	PA14_62740	1.5
41346	PA14_42250	PA14_42390	0.5
41347	PA14_25180	PA14_42390	0.5
41348	PA14_24040	PA14_42390	1.5
41349	PA14_23990	PA14_42390	1.5
41350	PA14_42390	PA14_70080	1.5
41351	PA14_42390	PA14_70710	1.5
41352	PA14_42350	PA14_42360	1.5
41353	PA14_42340	PA14_42360	1.5
41354	PA14_42310	PA14_42360	1.5
41355	PA14_42300	PA14_42360	1.5
41356	PA14_42290	PA14_42360	1.5
41357	PA14_24070	PA14_42360	1.5
41358	PA14_23980	PA14_42360	1.5
41359	PA14_20040	PA14_42360	1.5
41360	PA14_08695	PA14_42360	1.5
41361	PA14_42310	PA14_42350	1.5
41362	PA14_42290	PA14_42350	1.5
41363	PA14_42270	PA14_42350	1.5
41364	PA14_42250	PA14_42350	1.5
41365	PA14_42310	PA14_42340	1.5
41366	PA14_42290	PA14_42340	1.5
41367	PA14_42250	PA14_42340	1.5
41368	PA14_27090	PA14_42340	1.5
41369	PA14_42290	PA14_42310	1.5
41370	PA14_42250	PA14_42310	1.5
41371	PA14_15960	PA14_42310	1.5
41372	PA14_09050	PA14_42300	1.5
41373	PA14_42270	PA14_42290	1.5
41374	PA14_24070	PA14_42290	1.5
41375	PA14_24040	PA14_42290	1.5
41376	PA14_22570	PA14_42290	1.5
41377	PA14_42270	PA14_42280	1.5
41378	PA14_42260	PA14_42280	1.5
41379	PA14_42250	PA14_42280	1.5
41380	PA14_24050	PA14_42280	1.5
41381	PA14_14850	PA14_42280	1.5
41382	PA14_42260	PA14_42270	1.5
41383	PA14_42250	PA14_42260	1.5
41384	PA14_24060	PA14_42250	1.5
41385	PA14_42030	PA14_42050	1.5
41386	PA14_41380	PA14_41920	1.5
41387	PA14_30110	PA14_41920	1.5
41388	PA14_29110	PA14_41920	1.5
41389	PA14_28690	PA14_41920	1.5
41390	PA14_23850	PA14_41920	1.5
41391	PA14_41920	PA14_60370	1.5
41392	PA14_41920	PA14_61710	1.5
41393	PA14_41920	PA14_62600	1.5
41394	PA14_41920	PA14_66440	1.5
41395	PA14_41920	PA14_66560	1.5
41396	PA14_41920	PA14_67600	1.5
41397	PA14_37190	PA14_41870	1.5
41398	PA14_21760	PA14_41870	1.5
41399	PA14_16530	PA14_41870	1.5
41400	PA14_12120	PA14_41870	1.5
41401	PA14_41870	PA14_60370	1.5
41402	PA14_41870	PA14_62940	1.5
41403	PA14_41870	PA14_64190	1.5
41404	PA14_41840	PA14_61710	1.5
41405	PA14_41840	PA14_67890	1.5
41406	PA14_35520	PA14_41830	1.5
41407	PA14_17040	PA14_41830	1.5
41408	PA14_14440	PA14_41830	1.5
41409	PA14_41830	PA14_66610	1.5
41410	PA14_41830	PA14_67880	1.5
41411	PA14_41830	PA14_67890	1.5
41412	PA14_26480	PA14_41820	1.5
41413	PA14_11550	PA14_41820	1.5
41414	PA14_38550	PA14_41670	1.5
41415	PA14_34360	PA14_41670	1.5
41416	PA14_32230	PA14_41670	1.5
41417	PA14_10990	PA14_41670	1.5
41418	PA14_41670	PA14_57720	1.5
41419	PA14_41670	PA14_60400	1.5
41420	PA14_41670	PA14_62830	1.5
41421	PA14_41650	PA14_58120	1.5
41422	PA14_41560	PA14_41570	1.5
41423	PA14_41540	PA14_41570	1.5
41424	PA14_41530	PA14_41570	1.5
41425	PA14_41520	PA14_41570	1.5
41426	PA14_41500	PA14_41570	1.5
41427	PA14_23470	PA14_41570	1.5
41428	PA14_41540	PA14_41563	1.5
41429	PA14_41530	PA14_41563	1.5
41430	PA14_41520	PA14_41563	1.5
41431	PA14_41350	PA14_41563	1.5
41432	PA14_38820	PA14_41563	1.5
41433	PA14_26500	PA14_41563	1.5
41434	PA14_17130	PA14_41563	1.5
41435	PA14_12020	PA14_41563	1.5
41436	PA14_11560	PA14_41563	1.5
41437	PA14_11460	PA14_41563	1.5
41438	PA14_11400	PA14_41563	1.5
41439	PA14_41563	PA14_56900	1.5
41440	PA14_41563	PA14_61580	1.5
41441	PA14_41563	PA14_61670	1.5
41442	PA14_41563	PA14_61750	1.5
41443	PA14_41563	PA14_69240	1.5
41444	PA14_41563	PA14_70240	1.5
41445	PA14_41500	PA14_41560	1.5
41446	PA14_41560	PA14_70670	1.5
41447	PA14_41520	PA14_41540	1.5
41448	PA14_41540	PA14_62830	1.5
41449	PA14_41540	PA14_67490	1.5
41450	PA14_29940	PA14_41470	1.5
41451	PA14_29920	PA14_41470	1.5
41452	PA14_29890	PA14_41470	1.5
41453	PA14_41470	PA14_66900	1.5
41454	PA14_41470	PA14_68580	1.5
41455	PA14_41470	PA14_69200	1.0
41456	PA14_41470	PA14_73240	1.5
41457	PA14_41470	PA14_73310	1.5
41458	PA14_41390	PA14_41400	1.5
41459	PA14_23840	PA14_41390	1.5
41460	PA14_12280	PA14_41390	1.5
41461	PA14_08920	PA14_41390	1.5
41462	PA14_41360	PA14_41380	1.5
41463	PA14_37710	PA14_41380	1.5
41464	PA14_29110	PA14_41380	1.0
41465	PA14_28710	PA14_41380	1.5
41466	PA14_23760	PA14_41380	1.5
41467	PA14_23750	PA14_41380	1.5
41468	PA14_23560	PA14_41380	1.5
41469	PA14_23270	PA14_41380	1.5
41470	PA14_20650	PA14_41380	1.5
41471	PA14_19050	PA14_41380	1.5
41472	PA14_18740	PA14_41380	1.5
41473	PA14_18610	PA14_41380	1.5
41474	PA14_17460	PA14_41380	1.5
41475	PA14_17060	PA14_41380	1.5
41476	PA14_16530	PA14_41380	1.5
41477	PA14_16070	PA14_41380	1.5
41478	PA14_16050	PA14_41380	1.5
41479	PA14_14890	PA14_41380	1.5
41480	PA14_14700	PA14_41380	1.5
41481	PA14_13410	PA14_41380	1.5
41482	PA14_12120	PA14_41380	1.5
41483	PA14_41380	PA14_57710	1.5
41484	PA14_41380	PA14_60890	1.5
41485	PA14_41380	PA14_61710	1.5
41486	PA14_41380	PA14_62930	1.5
41487	PA14_41380	PA14_63540	1.5
41488	PA14_41380	PA14_64090	1.5
41489	PA14_41380	PA14_65180	1.5
41490	PA14_41380	PA14_65320	1.5
41491	PA14_41380	PA14_66260	1.5
41492	PA14_41380	PA14_66440	1.5
41493	PA14_41380	PA14_66600	1.5
41494	PA14_41380	PA14_66610	1.5
41495	PA14_41380	PA14_67600	1.5
41496	PA14_41380	PA14_67930	1.5
41497	PA14_41380	PA14_68330	1.5
41498	PA14_41380	PA14_72510	1.5
41499	PA14_41220	PA14_41360	1.5
41500	PA14_28710	PA14_41360	1.5
41501	PA14_28650	PA14_41360	1.5
41502	PA14_17460	PA14_41360	1.5
41503	PA14_15030	PA14_41360	1.5
41504	PA14_14890	PA14_41360	1.5
41505	PA14_08870	PA14_41360	1.5
41506	PA14_41360	PA14_57710	1.5
41507	PA14_41360	PA14_58190	1.5
41508	PA14_41360	PA14_63540	1.5
41509	PA14_41360	PA14_64090	1.5
41510	PA14_41360	PA14_65320	1.5
41511	PA14_41360	PA14_66330	1.5
41512	PA14_41360	PA14_68340	1.5
41513	PA14_41050	PA14_41350	1.5
41514	PA14_37710	PA14_41350	1.5
41515	PA14_30230	PA14_41350	1.5
41516	PA14_27210	PA14_41350	1.5
41517	PA14_26890	PA14_41350	1.5
41518	PA14_25970	PA14_41350	1.5
41519	PA14_25390	PA14_41350	1.5
41520	PA14_23840	PA14_41350	1.5
41521	PA14_23800	PA14_41350	1.5
41522	PA14_22450	PA14_41350	1.5
41523	PA14_19630	PA14_41350	1.5
41524	PA14_19620	PA14_41350	1.5
41525	PA14_18710	PA14_41350	1.5
41526	PA14_17460	PA14_41350	1.5
41527	PA14_17290	PA14_41350	1.5
41528	PA14_17070	PA14_41350	1.5
41529	PA14_14890	PA14_41350	1.5
41530	PA14_12390	PA14_41350	1.5
41531	PA14_12230	PA14_41350	1.5
41532	PA14_11560	PA14_41350	1.5
41533	PA14_11550	PA14_41350	1.5
41534	PA14_11460	PA14_41350	1.5
41535	PA14_11410	PA14_41350	1.5
41536	PA14_08870	PA14_41350	1.5
41537	PA14_08850	PA14_41350	1.5
41538	PA14_41350	PA14_58190	1.5
41539	PA14_41350	PA14_58780	1.5
41540	PA14_41350	PA14_61750	1.5
41541	PA14_41350	PA14_61770	1.5
41542	PA14_41350	PA14_64670	1.5
41543	PA14_41350	PA14_65180	1.5
41544	PA14_41350	PA14_65280	1.5
41545	PA14_41350	PA14_65320	1.5
41546	PA14_41350	PA14_66940	1.5
41547	PA14_41350	PA14_66950	1.5
41548	PA14_41350	PA14_67890	1.5
41549	PA14_41350	PA14_67930	1.5
41550	PA14_41350	PA14_69230	1.5
41551	PA14_41350	PA14_69440	1.5
41552	PA14_41350	PA14_69450	1.5
41553	PA14_41350	PA14_69940	1.5
41554	PA14_41350	PA14_70260	1.5
41555	PA14_41350	PA14_70730	1.5
41556	PA14_41230	PA14_57290	1.5
41557	PA14_41230	PA14_63010	1.5
41558	PA14_41230	PA14_66790	1.5
41559	PA14_28690	PA14_41220	1.5
41560	PA14_09100	PA14_41220	1.5
41561	PA14_09090	PA14_41220	1.5
41562	PA14_09010	PA14_41220	1.5
41563	PA14_09000	PA14_41220	1.5
41564	PA14_08890	PA14_41220	1.5
41565	PA14_41220	PA14_62760	1.5
41566	PA14_41220	PA14_65180	1.5
41567	PA14_41220	PA14_73420	1.5
41568	PA14_41210	PA14_65130	1.5
41569	PA14_08730	PA14_41190	1.5
41570	PA14_41140	PA14_41170	1.5
41571	PA14_30670	PA14_41170	1.5
41572	PA14_25090	PA14_41170	1.5
41573	PA14_25080	PA14_41170	1.5
41574	PA14_41110	PA14_41160	1.5
41575	PA14_41130	PA14_41150	1.5
41576	PA14_41110	PA14_41150	1.5
41577	PA14_41130	PA14_41140	1.5
41578	PA14_41110	PA14_41130	1.5
41579	PA14_23470	PA14_41090	1.5
41580	PA14_17210	PA14_41090	1.0
41581	PA14_16090	PA14_41090	1.5
41582	PA14_14730	PA14_41090	1.0
41583	PA14_12120	PA14_41090	1.5
41584	PA14_41090	PA14_57380	1.5
41585	PA14_41090	PA14_73170	1.5
41586	PA14_40120	PA14_41060	1.5
41587	PA14_12200	PA14_41060	1.5
41588	PA14_09200	PA14_41060	1.5
41589	PA14_41060	PA14_60990	1.5
41590	PA14_41060	PA14_62490	1.5
41591	PA14_41060	PA14_65130	1.5
41592	PA14_41060	PA14_65605	1.5
41593	PA14_41060	PA14_69710	1.5
41594	PA14_30110	PA14_41050	1.5
41595	PA14_26890	PA14_41050	1.5
41596	PA14_25390	PA14_41050	1.5
41597	PA14_23320	PA14_41050	1.5
41598	PA14_17290	PA14_41050	1.5
41599	PA14_15740	PA14_41050	1.5
41600	PA14_15310	PA14_41050	1.5
41601	PA14_41050	PA14_62910	1.5
41602	PA14_41050	PA14_62930	1.5
41603	PA14_41050	PA14_70470	1.5
41604	PA14_40880	PA14_40890	1.5
41605	PA14_38350	PA14_40770	1.5
41606	PA14_40770	PA14_68870	1.5
41607	PA14_40670	PA14_57800	1.5
41608	PA14_40670	PA14_65110	1.5
41609	PA14_40670	PA14_66610	1.5
41610	PA14_40670	PA14_67920	1.5
41611	PA14_39330	PA14_40420	1.5
41612	PA14_35110	PA14_40420	1.5
41613	PA14_34630	PA14_40420	1.5
41614	PA14_33690	PA14_40420	1.5
41615	PA14_40420	PA14_60850	1.5
41616	PA14_40420	PA14_72580	1.5
41617	PA14_40390	PA14_40410	1.5
41618	PA14_26230	PA14_40410	1.5
41619	PA14_26220	PA14_40410	1.5
41620	PA14_40410	PA14_70830	1.5
41621	PA14_40410	PA14_71960	1.5
41622	PA14_40390	PA14_70810	1.5
41623	PA14_40240	PA14_40260	1.5
41624	PA14_40230	PA14_40240	1.5
41625	PA14_17260	PA14_40120	1.5
41626	PA14_39990	PA14_40040	1.5
41627	PA14_39945	PA14_39980	1.5
41628	PA14_09450	PA14_39980	1.5
41629	PA14_10800	PA14_39980	1.5
41630	PA14_39980	PA14_64570	1.5
41631	PA14_39980	PA14_68700	1.5
41632	PA14_39980	PA14_69630	1.5
41633	PA14_09450	PA14_39945	1.5
41634	PA14_09420	PA14_39945	1.5
41635	PA14_39890	PA14_39945	1.5
41636	PA14_09410	PA14_39945	1.5
41637	PA14_09410	PA14_09450	1.5
41638	PA14_09410	PA14_09420	1.5
41639	PA14_09410	PA14_39890	1.5
41640	PA14_39860	PA14_39870	1.5
41641	PA14_39810	PA14_39820	1.5
41642	PA14_39720	PA14_39770	1.5
41643	PA14_39640	PA14_39650	1.5
41644	PA14_28650	PA14_39590	1.5
41645	PA14_16070	PA14_39590	1.5
41646	PA14_15030	PA14_39590	1.5
41647	PA14_39590	PA14_60420	1.5
41648	PA14_39590	PA14_60470	1.5
41649	PA14_39590	PA14_66610	1.5
41650	PA14_25540	PA14_39580	1.5
41651	PA14_23340	PA14_39580	1.5
41652	PA14_14600	PA14_39580	1.5
41653	PA14_09090	PA14_39580	1.5
41654	PA14_39580	PA14_57670	1.5
41655	PA14_39580	PA14_63060	1.5
41656	PA14_39580	PA14_69000	1.5
41657	PA14_29940	PA14_39520	1.5
41658	PA14_39330	PA14_39350	1.5
41659	PA14_35100	PA14_39350	1.5
41660	PA14_26230	PA14_39350	1.5
41661	PA14_39280	PA14_39330	1.5
41662	PA14_33690	PA14_39320	1.5
41663	PA14_20320	PA14_39320	1.5
41664	PA14_39320	PA14_60850	1.5
41665	PA14_39320	PA14_62010	1.5
41666	PA14_38550	PA14_39300	1.5
41667	PA14_39300	PA14_66310	1.5
41668	PA14_39300	PA14_72560	1.5
41669	PA14_34970	PA14_39280	1.5
41670	PA14_22910	PA14_39280	1.5
41671	PA14_32400	PA14_39190	1.5
41672	PA14_39190	PA14_65960	1.5
41673	PA14_39070	PA14_39080	1.5
41674	PA14_39010	PA14_58780	1.5
41675	PA14_38970	PA14_38990	1.5
41676	PA14_12970	PA14_38860	1.5
41677	PA14_38860	PA14_70390	1.5
41678	PA14_24900	PA14_38825	1.5
41679	PA14_13260	PA14_38825	1.5
41680	PA14_12410	PA14_38825	1.5
41681	PA14_38825	PA14_64980	1.5
41682	PA14_38780	PA14_38820	1.5
41683	PA14_38770	PA14_38820	1.5
41684	PA14_38770	PA14_38800	1.5
41685	PA14_38780	PA14_38790	1.5
41686	PA14_38770	PA14_38790	1.5
41687	PA14_38740	PA14_38750	1.5
41688	PA14_38690	PA14_38710	1.5
41689	PA14_38690	PA14_38700	1.5
41690	PA14_30240	PA14_38700	1.5
41691	PA14_28660	PA14_38700	1.5
41692	PA14_16530	PA14_38700	1.5
41693	PA14_09030	PA14_38700	1.5
41694	PA14_08990	PA14_38700	1.5
41695	PA14_08920	PA14_38700	1.5
41696	PA14_08680	PA14_38700	1.5
41697	PA14_08830	PA14_38700	1.5
41698	PA14_08730	PA14_38700	1.5
41699	PA14_08720	PA14_38700	1.0
41700	PA14_38610	PA14_38630	1.5
41701	PA14_30270	PA14_38630	1.5
41702	PA14_29850	PA14_38630	1.5
41703	PA14_25660	PA14_38630	1.5
41704	PA14_16690	PA14_38630	1.5
41705	PA14_10740	PA14_38630	1.5
41706	PA14_38630	PA14_71220	1.5
41707	PA14_32130	PA14_38590	1.5
41708	PA14_18230	PA14_38590	1.5
41709	PA14_17310	PA14_38590	1.5
41710	PA14_38550	PA14_38560	1.5
41711	PA14_38530	PA14_38560	1.5
41712	PA14_38510	PA14_38560	1.5
41713	PA14_38470	PA14_38550	1.5
41714	PA14_34870	PA14_38550	1.5
41715	PA14_17320	PA14_38550	1.5
41716	PA14_17310	PA14_38550	1.5
41717	PA14_38550	PA14_68170	1.5
41718	PA14_38550	PA14_71470	1.5
41719	PA14_38550	PA14_71630	1.5
41720	PA14_38510	PA14_38530	1.5
41721	PA14_38490	PA14_38530	1.5
41722	PA14_38440	PA14_38530	1.5
41723	PA14_32230	PA14_38530	1.5
41724	PA14_10620	PA14_38530	1.5
41725	PA14_38530	PA14_71470	1.5
41726	PA14_38530	PA14_71490	1.5
41727	PA14_38460	PA14_38510	1.5
41728	PA14_32150	PA14_38510	1.5
41729	PA14_22910	PA14_38510	1.5
41730	PA14_22890	PA14_38510	1.5
41731	PA14_38510	PA14_71510	1.5
41732	PA14_38480	PA14_38490	1.5
41733	PA14_38460	PA14_38490	1.5
41734	PA14_38440	PA14_38490	1.5
41735	PA14_38430	PA14_38490	1.5
41736	PA14_22930	PA14_38490	1.5
41737	PA14_18230	PA14_38490	1.5
41738	PA14_17310	PA14_38490	1.5
41739	PA14_10610	PA14_38490	1.5
41740	PA14_38490	PA14_71510	1.5
41741	PA14_38460	PA14_38480	1.0
41742	PA14_18120	PA14_38480	1.5
41743	PA14_17310	PA14_38480	1.5
41744	PA14_38480	PA14_71510	1.5
41745	PA14_38440	PA14_38470	1.5
41746	PA14_38430	PA14_38470	1.5
41747	PA14_38470	PA14_71510	1.5
41748	PA14_38430	PA14_38460	1.5
41749	PA14_34340	PA14_38460	1.5
41750	PA14_22930	PA14_38460	1.5
41751	PA14_22890	PA14_38460	1.5
41752	PA14_18140	PA14_38460	1.5
41753	PA14_17310	PA14_38460	1.5
41754	PA14_38460	PA14_62540	1.5
41755	PA14_38460	PA14_64770	1.5
41756	PA14_38460	PA14_68170	1.5
41757	PA14_38460	PA14_71470	1.5
41758	PA14_38460	PA14_71490	1.5
41759	PA14_38460	PA14_71500	1.5
41760	PA14_38460	PA14_71510	1.5
41761	PA14_38460	PA14_71630	1.5
41762	PA14_37190	PA14_38430	1.5
41763	PA14_20330	PA14_38395	1.5
41764	PA14_38395	PA14_65990	1.5
41765	PA14_38395	PA14_71960	1.5
41766	PA14_18580	PA14_38360	1.5
41767	PA14_17400	PA14_38350	1.5
41768	PA14_38350	PA14_64390	1.5
41769	PA14_38350	PA14_66680	1.5
41770	PA14_38350	PA14_68870	1.5
41771	PA14_33000	PA14_38330	1.5
41772	PA14_16090	PA14_38330	1.5
41773	PA14_12010	PA14_38330	1.5
41774	PA14_38330	PA14_60420	1.5
41775	PA14_38330	PA14_62910	1.5
41776	PA14_38330	PA14_66550	1.5
41777	PA14_38330	PA14_67580	1.5
41778	PA14_38330	PA14_70730	1.5
41779	PA14_38210	PA14_38220	1.5
41780	PA14_37940	PA14_37965	0.5
41781	PA14_37940	PA14_37950	0.5
41782	PA14_33040	PA14_37950	1.5
41783	PA14_35380	PA14_37940	1.5
41784	PA14_17900	PA14_37940	1.5
41785	PA14_37940	PA14_62540	1.5
41786	PA14_37880	PA14_37900	1.5
41787	PA14_37850	PA14_37900	1.5
41788	PA14_37870	PA14_37880	1.5
41789	PA14_37840	PA14_37850	1.5
41790	PA14_37790	PA14_37810	1.5
41791	PA14_37770	PA14_37780	1.5
41792	PA14_30330	PA14_37710	1.5
41793	PA14_28650	PA14_37710	1.5
41794	PA14_37710	PA14_60450	1.5
