	protein1	protein2	cost
200	PA5049	PA5049	1.0
201	PA0432	PA0432	1.0
202	PA0835	PA0835	1.0
203	PA2204	PA2204	1.0
204	PA3149	PA3149	1.0
205	PA3697	PA4671	1.0
206	PA1528	PA4250	1.0
207	PA0856	PA0856	1.0
208	PA2611	PA4251	1.0
209	PA3001	PA3001	1.0
210	PA4749	PA4749	1.0
211	PA3313	PA3313	1.0
212	PA2991	PA2991	1.0
213	PA4257	PA4257	1.0
214	PA4729	PA4729	1.0
215	PA1342	PA1342	1.0
216	PA5153	PA5153	1.0
217	PA1802	PA1802	1.0
218	PA3227	PA3227	1.0
219	PA5288	PA5288	1.0
220	PA5015	PA5015	1.0
221	PA2611	PA2611	0.5
222	PA4031	PA4031	1.0
223	PA3700	PA3700	1.0
224	PA5119	PA5119	1.0
225	PA0956	PA0956	1.0
226	PA2249	PA2249	1.0
227	PA5215	PA5215	1.0
228	PA1588	PA1588	1.0
229	PA4762	PA4762	1.0
230	PA4744	PA4744	1.0
231	PA0970	PA4264	1.0
232	PA4402	PA4432	1.0
233	PA3040	PA3040	1.0
234	PA4936	PA5489	1.0
235	PA2642	PA2642	1.0
236	PA4252	PA4252	1.0
237	PA4448	PA4448	1.0
238	PA4264	PA4744	1.0
239	PA4315	PA4315	1.0
240	PA1772	PA4936	1.0
241	PA1074	PA1074	1.0
242	PA2448	PA2448	1.0
243	PA1555	PA1555	1.0
244	PA0887	PA0887	0.5
245	PA1552	PA1552	1.0
246	PA4217	PA4217	1.0
247	PA5258	PA5258	1.0
248	PA3430	PA3430	1.0
249	PA2853	PA3692	1.0
250	PA4236	PA4236	1.0
251	PA2495	PA2495	1.0
252	PA4266	PA4266	1.0
253	PA2659	PA2659	1.0
254	PA1777	PA1964	1.0
255	PA1174	PA4587	1.0
256	PA2003	PA2003	1.0
257	PA1801	PA1801	1.0
258	PA3691	PA3691	1.0
259	PA4632	PA4632	1.0
260	PA0766	PA0766	1.5
261	PA3691	PA3692	1.5
262	PA3117	PA3117	1.0
263	PA4842	PA4842	1.0
264	PA2900	PA2900	1.0
265	PA5334	PA5334	1.0
266	PA0449	PA0449	1.0
267	PA3195	PA3195	1.0
268	PA5013	PA5013	1.0
269	PA2853	PA5322	1.0
270	PA2853	PA3691	1.0
271	PA0447	PA0447	1.0
272	PA2853	PA3640	1.0
273	PA1053	PA2853	1.0
274	PA4525	PA4525	0.5
275	PA4735	PA4735	1.0
276	PA1041	PA2853	1.0
277	PA0427	PA0427	1.0
278	PA0973	PA5013	1.0
279	PA0382	PA2853	1.0
280	PA1888	PA1888	1.0
281	PA4639	PA4639	1.0
282	PA1964	PA1964	1.0
283	PA0973	PA1777	1.0
284	PA0973	PA3687	1.0
285	PA2853	PA2939	1.0
286	PA3922	PA3922	1.0
287	PA0425	PA0425	1.0
288	PA3820	PA3821	1.5
289	PA3821	PA3821	1.0
290	PA5134	PA5134	1.0
291	PA4429	PA4429	1.0
292	PA0265	PA1777	1.0
293	PA1327	PA2853	1.0
294	PA4500	PA4500	1.0
295	PA0070	PA2853	1.0
296	PA0945	PA2853	1.0
297	PA2853	PA3108	1.0
298	PA2853	PA2888	1.0
299	PA0973	PA1041	1.0
300	PA2495	PA2853	1.0
301	PA0007	PA0007	1.0
302	PA1641	PA1641	1.0
303	PA4675	PA4675	1.0
304	PA0973	PA5076	1.0
305	PA2853	PA5013	1.0
306	PA2853	PA5076	1.0
307	PA2853	PA4938	1.0
308	PA1041	PA1777	1.0
309	PA1174	PA1174	1.0
310	PA2204	PA3121	1.0
311	PA0973	PA3340	1.0
312	PA3687	PA5013	1.0
313	PA1964	PA2853	1.0
314	PA0265	PA2853	1.0
315	PA4385	PA5556	1.0
316	PA4304	PA4304	1.0
317	PA3021	PA3021	1.0
318	PA5146	PA5146	1.0
319	PA2853	PA5209	1.0
320	PA2246	PA2853	1.0
321	PA0105	PA0105	1.0
322	PA1586	PA2853	1.0
323	PA1041	PA3141	1.0
324	PA2853	PA3068	1.0
325	PA2634	PA2634	1.0
326	PA4496	PA4496	1.0
327	PA4271	PA4272	1.0
328	PA2585	PA3138	1.0
329	PA4385	PA4386	1.5
330	PA0035	PA0036	1.5
331	PA4664	PA4665	1.5
332	PA4052	PA4264	1.0
333	PA1815	PA5554	1.0
334	PA0496	PA4510	1.0
335	PA2741	PA4568	1.0
336	PA3112	PA3639	1.0
337	PA3120	PA3121	1.0
338	PA4695	PA4696	1.0
339	PA0966	PA0967	1.0
340	PA0968	PA2966	1.5
341	PA2585	PA4234	1.5
342	PA3002	PA4234	1.0
343	PA4256	PA4432	1.5
344	PA1077	PA1452	1.5
345	PA4267	PA4745	1.0
346	PA1083	PA1084	1.5
347	PA3138	PA4234	1.0
348	PA1999	PA2000	1.0
349	PA4256	PA4260	1.5
350	PA1125	PA1529	1.0
351	PA1801	PA4385	1.5
352	PA1529	PA4670	1.0
353	PA3806	PA4277	1.0
354	PA2979	PA4760	1.0
355	PA4385	PA5164	1.0
356	PA4385	PA5180	1.0
357	PA2620	PA4385	1.5
358	PA1801	PA3337	1.5
359	PA2071	PA4920	1.5
360	PA2620	PA4264	1.0
361	PA2965	PA2967	0.5
362	PA3646	PA4264	1.0
363	PA3644	PA3646	1.0
364	PA4053	PA4055	0.5
365	PA4238	PA4741	1.0
366	PA0430	PA4385	1.0
367	PA4264	PA5567	1.0
368	PA4268	PA4746	1.0
369	PA4277	PA4733	1.5
370	PA3112	PA3114	1.5
371	PA0001	PA4260	1.0
372	PA5553	PA5555	1.5
373	PA1585	PA2585	1.0
374	PA4445	PA5366	1.0
375	PA1803	PA4568	1.0
376	PA0607	PA3635	1.0
377	PA5009	PA5011	1.5
378	PA4246	PA4745	1.0
379	PA2961	PA3743	1.0
380	PA4563	PA5569	1.0
381	PA4260	PA4262	1.0
382	PA1804	PA5569	1.5
383	PA3618	PA4907	1.0
384	PA3656	PA4403	1.0
385	PA4245	PA4249	1.5
386	PA0456	PA4937	1.0
387	PA1802	PA4255	1.0
388	PA4403	PA4760	1.5
389	PA1080	PA1449	1.5
390	PA3656	PA5567	1.0
391	PA4249	PA5316	1.0
392	PA1832	PA4937	1.0
393	PA1125	PA4563	1.0
394	PA4262	PA4807	1.0
395	PA4250	PA4473	1.5
396	PA0175	PA0177	1.5
397	PA3014	PA3563	1.5
398	PA3118	PA3121	0.5
399	PA4270	PA4563	1.0
400	PA4249	PA4273	1.0
401	PA3645	PA4251	1.5
402	PA4237	PA5569	1.0
403	PA3742	PA4239	1.5
404	PA1078	PA1086	1.5
405	PA4246	PA5195	1.0
406	PA0963	PA0964	1.5
407	PA4841	PA4967	1.0
408	PA2743	PA4433	1.0
409	PA3980	PA5366	1.0
410	PA2623	PA3121	1.5
411	PA3656	PA4753	1.0
412	PA1815	PA4563	1.0
413	PA3645	PA4258	1.0
414	PA2277	PA2278	0.5
415	PA4238	PA4257	1.5
416	PA4277	PA4481	1.5
417	PA3981	PA4753	1.0
418	PA4007	PA4565	0.5
419	PA3162	PA5569	1.5
420	PA2743	PA4264	1.5
421	PA0374	PA2977	1.5
422	PA0336	PA3297	1.5
423	PA1104	PA1452	1.5
424	PA4418	PA4700	1.0
425	PA4237	PA4248	1.5
426	PA3620	PA5443	1.0
427	PA4237	PA4269	1.0
428	PA0004	PA3903	1.0
429	PA1754	PA3011	1.5
430	PA1847	PA5245	1.0
431	PA4246	PA4563	1.0
432	PA0456	PA2620	1.0
433	PA0966	PA1534	1.5
434	PA2840	PA4251	1.0
435	PA3171	PA5358	1.5
436	PA3007	PA3875	1.5
437	PA4411	PA4418	1.0
438	PA3806	PA5015	1.0
439	PA3551	PA5322	0.5
440	PA2197	PA4761	1.5
441	PA2620	PA4542	1.5
442	PA2643	PA2644	0.5
443	PA4243	PA4273	1.5
444	PA2975	PA4403	1.0
445	PA2925	PA5154	1.5
446	PA1457	PA4954	1.5
447	PA3040	PA3337	1.5
448	PA0381	PA4973	1.5
449	PA3640	PA4239	1.5
450	PA0962	PA1800	1.5
451	PA5214	PA5215	0.5
452	PA0155	PA1587	1.5
453	PA3640	PA3643	1.5
454	PA1077	PA1083	1.5
455	PA2622	PA4937	1.0
456	PA0576	PA4741	1.5
457	PA2622	PA4273	1.5
458	PA4252	PA5569	1.0
459	PA1498	PA4329	0.5
460	PA0838	PA4707	1.5
461	PA0336	PA2741	1.5
462	PA3045	PA3946	0.5
463	PA4741	PA4753	1.5
464	PA5338	PA5345	1.5
465	PA3011	PA4269	1.5
466	PA0342	PA2744	1.0
467	PA3977	PA4666	1.0
468	PA4267	PA4275	1.0
469	PA0586	PA0587	1.5
470	PA2967	PA2969	1.5
471	PA0501	PA0503	1.5
472	PA4246	PA4760	1.0
473	PA5016	PA5564	1.0
474	PA2483	PA4761	1.5
475	PA0400	PA0430	1.5
476	PA0139	PA0140	1.5
477	PA0464	PA1179	1.5
478	PA4271	PA4744	1.0
479	PA2840	PA3048	1.0
480	PA4246	PA5118	1.5
481	PA5243	PA5260	0.5
