	protein1	protein2	cost
17256	PA3506	PA3508	1.5
17257	PA3508	PA3511	1.5
17258	PA3514	PA3672	1.5
17259	PA3515	PA3517	1.5
17260	PA3522	PA3523	1.5
17261	PA3537	PA3792	1.5
17262	PA3538	PA3672	1.5
17263	PA3540	PA3543	1.5
17264	PA3540	PA3544	1.5
17265	PA3540	PA3545	1.5
17266	PA3540	PA3546	1.5
17267	PA3540	PA3549	1.5
17268	PA3540	PA3550	1.5
17269	PA3543	PA3544	1.5
17270	PA3546	PA3548	1.5
17271	PA3548	PA3550	1.5
17272	PA3548	PA4954	1.5
17273	PA3551	PA4416	1.5
17274	PA3551	PA4662	1.5
17275	PA3551	PA4988	1.5
17276	PA3552	PA3553	1.5
17277	PA3553	PA3554	0.5
17278	PA3553	PA3559	1.5
17279	PA3553	PA3761	1.5
17280	PA3560	PA3563	0.5
17281	PA3561	PA3562	0.5
17282	PA3569	PA4670	1.5
17283	PA3569	PA5353	1.5
17284	PA3569	PA5355	1.5
17285	PA3570	PA3735	1.5
17286	PA3570	PA4402	1.5
17287	PA3570	PA5429	1.5
17288	PA3581	PA4628	1.5
17289	PA3582	PA3583	0.5
17290	PA3585	PA5434	1.5
17291	PA3603	PA3929	1.5
17292	PA3603	PA4133	1.5
17293	PA3608	PA5561	1.5
17294	PA3609	PA3936	1.5
17295	PA3609	PA4143	1.5
17296	PA3609	PA4194	1.5
17297	PA3609	PA4911	1.5
17298	PA3609	PA5216	1.5
17299	PA3623	PA3624	1.5
17300	PA3633	PA4006	1.5
17301	PA3633	PA5063	1.5
17302	PA3634	PA3637	1.5
17303	PA3636	PA5452	1.5
17304	PA3637	PA5321	1.5
17305	PA3640	PA4232	1.5
17306	PA3645	PA3999	1.5
17307	PA3646	PA3651	1.5
17308	PA3646	PA4412	1.5
17309	PA3646	PA5552	1.5
17310	PA3647	PA3651	1.5
17311	PA3650	PA3652	1.0
17312	PA3650	PA4666	1.5
17313	PA3650	PA4669	0.5
17314	PA3650	PA4728	1.5
17315	PA3653	PA3745	1.5
17316	PA3656	PA4259	1.5
17317	PA3658	PA3659	1.5
17318	PA3666	PA3999	1.5
17319	PA3669	PA3672	1.5
17320	PA3682	PA3683	1.5
17321	PA3682	PA3684	1.5
17322	PA3683	PA3684	1.5
17323	PA3687	PA4771	1.5
17324	PA3687	PA4868	1.5
17325	PA3687	PA5559	1.5
17326	PA3695	PA3697	1.5
17327	PA3695	PA3698	1.5
17328	PA3702	PA4633	1.5
17329	PA3705	PA5483	1.5
17330	PA3735	PA4054	1.5
17331	PA3735	PA4839	1.5
17332	PA3735	PA5015	1.5
17333	PA3736	PA3997	1.5
17334	PA3736	PA5038	1.5
17335	PA3736	PA5372	1.5
17336	PA3742	PA4244	1.5
17337	PA3745	PA4273	1.0
17338	PA3745	PA4274	1.5
17339	PA3746	PA4559	1.5
17340	PA3751	PA4447	1.5
17341	PA3751	PA4448	1.5
17342	PA3751	PA4938	1.5
17343	PA3751	PA5321	1.5
17344	PA3757	PA3758	1.5
17345	PA3758	PA3759	0.5
17346	PA3759	PA3760	1.5
17347	PA3769	PA3816	1.5
17348	PA3770	PA3970	1.5
17349	PA3776	PA3777	1.5
17350	PA3802	PA3804	1.5
17351	PA3816	PA5358	1.5
17352	PA3821	PA4205	1.5
17353	PA3834	PA5015	1.5
17354	PA3875	PA3877	0.5
17355	PA3879	PA4546	1.5
17356	PA3887	PA4598	1.5
17357	PA3887	PA5159	1.5
17358	PA3887	PA5451	1.5
17359	PA3888	PA3889	1.5
17360	PA3888	PA4160	1.5
17361	PA3888	PA4193	1.5
17362	PA3914	PA3915	0.5
17363	PA3914	PA3918	1.5
17364	PA3915	PA3917	1.5
17365	PA3936	PA5075	1.5
17366	PA3970	PA4646	1.5
17367	PA3975	PA3997	1.5
17368	PA3988	PA3989	1.5
17369	PA3996	PA3999	1.5
17370	PA3996	PA4051	1.5
17371	PA3997	PA4930	1.5
17372	PA3999	PA4002	1.5
17373	PA3999	PA4406	1.5
17374	PA3999	PA4416	1.5
17375	PA4001	PA4003	1.0
17376	PA4006	PA4669	1.5
17377	PA4007	PA5358	1.5
17378	PA4044	PA4695	1.5
17379	PA4047	PA4666	1.5
17380	PA4047	PA4669	1.5
17381	PA4047	PA4695	1.5
17382	PA4051	PA4054	1.5
17383	PA4053	PA5260	1.5
17384	PA4054	PA4376	1.5
17385	PA4054	PA4655	1.5
17386	PA4054	PA5063	1.5
17387	PA4055	PA4561	0.5
17388	PA4055	PA4730	1.5
17389	PA4055	PA4919	1.5
17390	PA4055	PA4920	1.5
17391	PA4101	PA4102	1.5
17392	PA4114	PA4867	1.5
17393	PA4138	PA5015	1.5
17394	PA4142	PA4144	1.5
17395	PA4143	PA4144	1.5
17396	PA4148	PA4149	1.5
17397	PA4150	PA4152	1.5
17398	PA4153	PA4829	1.5
17399	PA4159	PA4496	1.5
17400	PA4160	PA4496	1.5
17401	PA4160	PA4503	1.5
17402	PA4160	PA4504	1.5
17403	PA4160	PA5159	1.5
17404	PA4161	PA4503	1.5
17405	PA4161	PA4687	1.5
17406	PA4161	PA5377	1.5
17407	PA4163	PA4164	1.5
17408	PA4192	PA4193	1.5
17409	PA4193	PA4496	1.5
17410	PA4193	PA4503	1.5
17411	PA4193	PA4504	1.5
17412	PA4193	PA5367	1.5
17413	PA4205	PA4208	1.5
17414	PA4223	PA4496	1.5
17415	PA4223	PA4503	1.5
17416	PA4223	PA5377	1.5
17417	PA4226	PA4229	1.5
17418	PA4237	PA5570	1.5
17419	PA4242	PA4264	1.5
17420	PA4242	PA5570	1.5
17421	PA4244	PA4249	1.0
17422	PA4245	PA4263	1.5
17423	PA4246	PA4253	1.5
17424	PA4249	PA4272	1.5
17425	PA4250	PA4253	1.5
17426	PA4250	PA4258	1.5
17427	PA4255	PA4258	1.5
17428	PA4255	PA5316	1.5
17429	PA4256	PA5315	1.5
17430	PA4262	PA4568	1.5
17431	PA4262	PA5049	1.5
17432	PA4268	PA5316	1.0
17433	PA4285	PA5493	1.5
17434	PA4298	PA4302	1.5
17435	PA4299	PA4301	1.5
17436	PA4300	PA4302	1.5
17437	PA4307	PA4309	1.5
17438	PA4329	PA4847	1.5
17439	PA4329	PA5110	1.5
17440	PA4331	PA4332	1.5
17441	PA4372	PA4373	1.5
17442	PA4376	PA4750	1.5
17443	PA4396	PA4398	1.5
17444	PA4397	PA4524	1.5
17445	PA4402	PA5141	1.5
17446	PA4409	PA4421	0.5
17447	PA4410	PA4417	1.5
17448	PA4411	PA4419	1.5
17449	PA4412	PA4450	1.5
17450	PA4413	PA4415	1.5
17451	PA4416	PA5452	1.5
17452	PA4424	PA4426	1.5
17453	PA4447	PA5141	1.5
17454	PA4448	PA4731	1.5
17455	PA4449	PA5213	1.5
17456	PA4450	PA4454	1.5
17457	PA4450	PA4662	1.5
17458	PA4450	PA5010	1.5
17459	PA4457	PA4459	1.5
17460	PA4465	PA4466	1.5
17461	PA4467	PA4469	1.5
17462	PA4467	PA4471	1.5
17463	PA4468	PA4471	1.5
17464	PA4470	PA4471	1.5
17465	PA4483	PA4486	1.5
17466	PA4496	PA5369	1.5
17467	PA4513	PA5312	1.5
17468	PA4524	PA5065	1.5
17469	PA4524	PA5259	1.5
17470	PA4524	PA5358	1.5
17471	PA4542	PA4543	1.5
17472	PA4546	PA5261	1.5
17473	PA4546	PA5483	1.5
17474	PA4565	PA4758	1.5
17475	PA4565	PA5206	1.5
17476	PA4588	PA4731	1.5
17477	PA4591	PA4592	1.5
17478	PA4597	PA4599	1.5
17479	PA4601	PA5117	1.5
17480	PA4602	PA5035	1.5
17481	PA4602	PA5415	1.5
17482	PA4648	PA4652	1.5
17483	PA4655	PA5065	1.5
17484	PA4662	PA4666	1.5
17485	PA4663	PA4973	1.5
17486	PA4670	PA4732	1.5
17487	PA4688	PA5367	1.5
17488	PA4694	PA5277	1.5
17489	PA4694	PA5429	1.5
17490	PA4696	PA4758	1.5
17491	PA4696	PA5038	1.5
17492	PA4696	PA5118	1.5
17493	PA4727	PA4937	1.0
17494	PA4731	PA4759	1.5
17495	PA4731	PA4957	1.5
17496	PA4731	PA5100	1.5
17497	PA4740	PA4745	1.5
17498	PA4748	PA5549	1.5
17499	PA4748	PA5555	1.5
17500	PA4756	PA4855	1.5
17501	PA4756	PA5066	1.5
17502	PA4756	PA5321	1.5
17503	PA4758	PA4854	0.5
17504	PA4758	PA5142	1.5
17505	PA4758	PA5213	1.5
17506	PA4759	PA5302	1.0
17507	PA4808	PA4932	1.5
17508	PA4830	PA4831	1.5
17509	PA4839	PA5277	1.5
17510	PA4846	PA5206	1.5
17511	PA4846	PA5277	1.5
17512	PA4855	PA5420	1.5
17513	PA4856	PA5261	1.5
17514	PA4863	PA4866	1.5
17515	PA4865	PA5056	1.5
17516	PA4865	PA5353	1.5
17517	PA4867	PA5046	1.5
17518	PA4867	PA5173	1.5
17519	PA4867	PA5421	1.5
17520	PA4882	PA4883	1.5
17521	PA4885	PA5124	1.5
17522	PA4908	PA4909	1.5
17523	PA4932	PA5315	1.5
17524	PA4935	PA5315	1.5
17525	PA4935	PA5570	1.5
17526	PA4938	PA5213	1.5
17527	PA4938	PA5215	1.5
17528	PA4942	PA4947	1.5
17529	PA4943	PA4948	1.5
17530	PA4948	PA4950	1.5
17531	PA4950	PA4951	1.5
17532	PA4957	PA5013	1.5
17533	PA4957	PA5092	1.5
17534	PA4957	PA5206	1.5
17535	PA4957	PA5302	1.5
17536	PA4967	PA4971	1.5
17537	PA4978	PA4979	1.5
17538	PA4996	PA4997	1.5
17539	PA4996	PA5552	1.5
17540	PA5001	PA5004	1.5
17541	PA5002	PA5005	1.5
17542	PA5015	PA5278	1.5
17543	PA5021	PA5023	1.5
17544	PA5025	PA5036	1.5
17545	PA5035	PA5119	0.5
17546	PA5035	PA5206	1.5
17547	PA5035	PA5263	1.5
17548	PA5039	PA5204	1.5
17549	PA5059	PA5061	1.5
17550	PA5065	PA5118	1.5
17551	PA5066	PA5429	1.5
17552	PA5067	PA5140	1.5
17553	PA5074	PA5094	1.5
17554	PA5074	PA5376	1.5
17555	PA5092	PA5093	1.5
17556	PA5092	PA5096	1.5
17557	PA5092	PA5110	1.5
17558	PA5098	PA5278	1.5
17559	PA5098	PA5323	1.5
17560	PA5100	PA5263	1.5
17561	PA5105	PA5125	1.5
17562	PA5105	PA5499	1.5
17563	PA5110	PA5131	1.5
17564	PA5110	PA5427	1.5
17565	PA5129	PA5130	1.5
17566	PA5138	PA5139	1.5
17567	PA5141	PA5215	1.5
17568	PA5142	PA5206	1.5
17569	PA5146	PA5147	1.5
17570	PA5152	PA5153	1.5
17571	PA5153	PA5155	1.5
17572	PA5157	PA5158	1.5
17573	PA5187	PA5188	1.5
17574	PA5200	PA5511	1.5
17575	PA5213	PA5278	1.5
17576	PA5253	PA5365	1.5
17577	PA5261	PA5511	1.5
17578	PA5278	PA5429	1.5
17579	PA5280	PA5345	1.5
17580	PA5309	PA5310	1.5
17581	PA5349	PA5427	1.5
17582	PA5360	PA5483	1.5
17583	PA5367	PA5369	1.5
17584	PA5372	PA5495	1.5
17585	PA5376	PA5378	1.5
17586	PA5390	PA5392	1.5
17587	PA5415	PA5495	1.5
17588	PA5439	PA5440	1.5
17589	PA5448	PA5451	1.5
17590	PA5448	PA5452	1.5
17591	PA5450	PA5503	1.5
17592	PA5452	PA5454	1.5
17593	PA5455	PA5456	1.5
17594	PA5470	PA5471	1.5
17595	PA0342	PA0501	1.5
17596	PA0342	PA5331	1.5
17597	PA0390	PA1794	1.5
17598	PA0393	PA4666	1.5
17599	PA0399	PA4602	0.5
17600	PA0401	PA3163	1.5
17601	PA0408	PA0464	1.5
17602	PA0551	PA0999	1.5
17603	PA0593	PA4376	1.5
17604	PA0887	PA5549	1.5
17605	PA0904	PA4448	1.5
17606	PA0904	PA5025	1.5
17607	PA0904	PA5429	1.5
17608	PA0963	PA4560	1.5
17609	PA0999	PA3997	1.5
17610	PA1180	PA1456	1.5
17611	PA1279	PA5260	1.5
17612	PA1384	PA3163	1.5
17613	PA1498	PA2344	1.5
17614	PA1585	PA3183	1.5
17615	PA1586	PA2250	0.5
17616	PA1588	PA3193	1.5
17617	PA1693	PA5069	1.5
17618	PA1796	PA5420	0.5
17619	PA2012	PA5016	1.5
17620	PA2153	PA2796	1.5
17621	PA2250	PA5016	0.5
17622	PA2344	PA2796	1.5
17623	PA2344	PA3181	1.5
17624	PA2517	PA2518	1.5
17625	PA2629	PA5277	1.5
17626	PA2638	PA2647	0.5
17627	PA2741	PA4260	1.5
17628	PA2796	PA3636	1.5
17629	PA2943	PA5067	1.5
17630	PA2944	PA3997	1.5
17631	PA3171	PA4694	1.5
17632	PA3171	PA5118	1.5
17633	PA3525	PA5067	1.5
17634	PA3617	PA4232	1.5
17635	PA3629	PA5549	1.5
17636	PA3637	PA4855	1.5
17637	PA3736	PA5067	1.5
17638	PA3816	PA5259	1.5
17639	PA4091	PA4092	1.5
17640	PA4268	PA4934	1.5
17641	PA4406	PA5012	1.5
17642	PA4411	PA5453	1.5
17643	PA4729	PA4982	1.5
17644	PA4781	PA4915	1.5
17645	PA4862	PA5117	1.5
17646	PA0018	PA4484	1.5
17647	PA4934	PA5197	1.5
17648	PA0182	PA1827	1.5
17649	PA0463	PA2810	1.5
17650	PA0756	PA2573	1.5
17651	PA0756	PA3946	1.5
17652	PA0756	PA4886	1.5
17653	PA1179	PA1608	1.5
17654	PA1246	PA2408	1.5
17655	PA1246	PA4861	1.5
17656	PA1342	PA2339	1.5
17657	PA1342	PA2351	1.5
17658	PA1342	PA2925	1.5
17659	PA1342	PA5367	1.5
17660	PA1464	PA2920	1.5
17661	PA1464	PA4886	1.5
17662	PA1535	PA5020	1.5
17663	PA1876	PA4461	1.5
17664	PA1947	PA2408	1.5
17665	PA1984	PA4189	1.5
17666	PA2248	PA4960	1.5
17667	PA2923	PA5075	1.5
17668	PA3375	PA4461	1.5
17669	PA3761	PA4464	1.5
17670	PA5368	PA5369	1.5
17671	PA0004	PA2118	1.5
17672	PA0008	PA3013	1.5
17673	PA0008	PA5080	1.5
17674	PA0019	PA4472	1.5
17675	PA0132	PA5429	1.5
17676	PA0210	PA2357	1.5
17677	PA0230	PA1310	1.5
17678	PA0281	PA1947	1.5
17679	PA0293	PA2445	1.5
17680	PA0293	PA3151	1.5
17681	PA0331	PA5415	0.5
17682	PA0342	PA0996	1.5
17683	PA0342	PA2611	1.5
17684	PA0342	PA3397	1.5
17685	PA0362	PA1479	1.5
17686	PA0363	PA1502	1.5
17687	PA0363	PA4626	1.5
17688	PA0381	PA3996	1.5
17689	PA0393	PA4938	1.5
17690	PA0402	PA3700	1.5
17691	PA0403	PA3108	1.5
17692	PA0424	PA1456	1.5
17693	PA0432	PA1754	1.5
17694	PA0518	PA1583	1.5
17695	PA0584	PA4264	1.5
17696	PA0584	PA4270	1.0
17697	PA0584	PA4275	1.5
17698	PA0611	PA1456	1.5
17699	PA0662	PA0956	1.5
17700	PA0668	PA3802	1.5
17701	PA0668	PA4256	1.5
17702	PA0750	PA1815	1.5
17703	PA0761	PA0870	1.5
17704	PA0761	PA2249	1.5
17705	PA0761	PA4730	1.5
17706	PA0837	PA4386	1.5
17707	PA0837	PA5315	1.5
17708	PA0854	PA4670	1.0
17709	PA0888	PA1493	1.5
17710	PA0893	PA4666	1.5
17711	PA0901	PA3735	1.5
17712	PA0949	PA3743	1.5
17713	PA0956	PA1843	1.5
17714	PA0956	PA5142	1.5
17715	PA0956	PA5263	1.5
17716	PA0963	PA2626	1.5
17717	PA0963	PA4745	1.5
17718	PA0967	PA4283	1.5
17719	PA0967	PA4284	1.5
17720	PA0998	PA4043	1.5
17721	PA1002	PA3165	1.5
17722	PA1002	PA5278	1.5
17723	PA1004	PA4449	1.5
17724	PA1004	PA4655	1.5
17725	PA1072	PA1475	1.5
17726	PA1072	PA5531	1.5
17727	PA1109	PA2376	1.5
17728	PA1179	PA2622	1.5
17729	PA1272	PA5260	1.5
17730	PA1272	PA5320	1.5
17731	PA1277	PA3814	1.5
17732	PA1278	PA5260	1.5
17733	PA1310	PA5416	1.5
17734	PA1326	PA2444	0.5
17735	PA1326	PA3814	1.5
17736	PA1338	PA4613	1.5
17737	PA1375	PA2445	1.5
17738	PA1384	PA3769	1.5
17739	PA1455	PA2492	1.5
17740	PA1456	PA2054	1.5
17741	PA1532	PA3738	1.5
17742	PA1585	PA3357	1.5
17743	PA1585	PA4758	1.5
17744	PA1585	PA5213	1.5
17745	PA1642	PA3700	1.5
17746	PA1642	PA4433	1.5
17747	PA1642	PA4741	1.5
17748	PA1681	PA3167	1.5
17749	PA1754	PA1794	1.5
17750	PA1778	PA4007	1.5
17751	PA1794	PA3107	1.5
17752	PA1794	PA3831	1.5
17753	PA1794	PA5100	1.5
17754	PA1795	PA2709	1.5
17755	PA1795	PA3107	1.5
17756	PA1796	PA3161	1.5
17757	PA1796	PA4932	1.5
17758	PA1796	PA5569	1.5
17759	PA1802	PA4609	1.5
17760	PA1803	PA3134	1.5
17761	PA1803	PA4274	1.5
17762	PA1803	PA4560	1.5
17763	PA1804	PA5050	1.5
17764	PA1843	PA3834	1.5
17765	PA1843	PA5100	1.5
17766	PA1886	PA4931	1.5
17767	PA1947	PA3607	1.5
17768	PA2001	PA3645	1.5
17769	PA2014	PA4670	1.5
17770	PA2016	PA2622	1.5
17771	PA2025	PA3117	1.5
17772	PA2025	PA5067	1.5
17773	PA2121	PA2492	1.5
17774	PA2153	PA4809	1.5
17775	PA2357	PA3192	1.5
17776	PA2357	PA4442	1.5
17777	PA2444	PA5025	1.5
17778	PA2444	PA5171	1.5
17779	PA2444	PA5413	0.5
17780	PA2492	PA4723	1.5
17781	PA2492	PA5274	1.5
17782	PA2612	PA3107	1.5
17783	PA2612	PA3161	1.5
17784	PA2612	PA5025	1.5
17785	PA2612	PA5215	1.5
17786	PA2616	PA3770	1.5
17787	PA2617	PA3624	1.5
17788	PA2626	PA2975	1.5
17789	PA2626	PA3161	1.5
17790	PA2626	PA5337	1.5
17791	PA2709	PA3834	1.5
17792	PA2739	PA4609	1.5
17793	PA2740	PA3161	1.5
17794	PA2743	PA3834	1.5
17795	PA2744	PA5315	1.5
17796	PA2755	PA5240	1.5
17797	PA2851	PA4744	1.5
17798	PA2866	PA5549	1.5
17799	PA2907	PA4973	1.5
17800	PA2907	PA5260	1.5
17801	PA2932	PA3584	1.5
17802	PA2964	PA3171	1.5
17803	PA2970	PA2978	1.5
17804	PA2978	PA3818	1.5
17805	PA2978	PA4265	1.5
17806	PA3002	PA4762	1.5
17807	PA3011	PA5050	1.5
17808	PA3013	PA4560	1.5
17809	PA3107	PA3700	1.5
17810	PA3108	PA3814	1.5
17811	PA3111	PA3397	1.5
17812	PA3113	PA4447	1.5
17813	PA3113	PA4448	1.5
17814	PA3114	PA4239	1.5
17815	PA3114	PA4252	1.5
17816	PA3117	PA4756	1.5
17817	PA3151	PA5173	1.5
17818	PA3151	PA5278	1.5
17819	PA3152	PA3482	1.5
17820	PA3161	PA4238	1.5
17821	PA3162	PA4268	1.5
17822	PA3165	PA4565	1.5
17823	PA3167	PA4056	1.5
17824	PA3171	PA4663	1.5
17825	PA3181	PA5418	1.5
17826	PA3308	PA4052	1.5
17827	PA3308	PA5239	1.5
17828	PA3397	PA4051	1.5
17829	PA3397	PA4056	1.5
17830	PA3525	PA5278	1.5
17831	PA3527	PA3763	0.5
17832	PA3528	PA4609	1.5
17833	PA3537	PA4759	1.5
17834	PA3560	PA4412	1.5
17835	PA3584	PA4868	1.5
17836	PA3635	PA4934	1.5
17837	PA3655	PA4257	1.5
17838	PA3700	PA5263	1.5
17839	PA3742	PA4433	1.5
17840	PA3743	PA5334	1.5
17841	PA3790	PA4765	1.5
17842	PA3820	PA5128	1.5
17843	PA3823	PA4274	1.5
17844	PA3834	PA5038	1.5
17845	PA3834	PA5413	1.5
17846	PA3976	PA4655	1.5
17847	PA3989	PA4723	1.5
17848	PA4053	PA4655	1.5
17849	PA4053	PA4973	1.5
17850	PA4109	PA4853	1.5
17851	PA4153	PA5418	1.5
17852	PA4244	PA4263	1.5
17853	PA4246	PA4272	1.5
17854	PA4247	PA4945	1.5
17855	PA4258	PA5224	1.5
17856	PA4259	PA4850	1.5
17857	PA4261	PA4672	1.5
17858	PA4261	PA4768	1.0
17859	PA4262	PA4768	1.5
17860	PA4264	PA4678	1.5
17861	PA4268	PA4743	1.5
17862	PA4272	PA4742	1.0
17863	PA4273	PA4742	1.5
17864	PA4274	PA4472	1.5
17865	PA4284	PA5320	1.5
17866	PA4402	PA5263	1.5
17867	PA4403	PA4528	1.5
17868	PA4432	PA4744	1.5
17869	PA4449	PA5066	1.5
17870	PA4655	PA4694	1.5
17871	PA4655	PA4696	1.5
17872	PA4666	PA4743	1.5
17873	PA4768	PA5049	1.5
17874	PA4976	PA5039	1.5
17875	PA0001	PA2118	1.5
17876	PA0009	PA3997	1.5
17877	PA0018	PA5315	1.5
17878	PA0455	PA0770	1.5
17879	PA0767	PA4744	1.5
17880	PA0873	PA1456	1.5
17881	PA0956	PA4267	1.5
17882	PA0963	PA2619	1.5
17883	PA1456	PA3192	1.5
17884	PA1475	PA3406	1.5
17885	PA1713	PA4227	1.5
17886	PA1720	PA4276	1.5
17887	PA1720	PA4403	1.5
17888	PA1794	PA4273	1.5
17889	PA1794	PA4274	1.5
17890	PA1795	PA3653	1.5
17891	PA1795	PA4237	1.5
17892	PA1795	PA4272	1.5
17893	PA1796	PA4237	1.5
17894	PA1796	PA4256	1.5
17895	PA1796	PA4267	1.5
17896	PA2612	PA4273	1.5
17897	PA2617	PA3134	1.5
17898	PA2619	PA4256	1.5
17899	PA2626	PA4270	1.5
17900	PA2740	PA3653	1.5
17901	PA2740	PA4273	1.5
17902	PA2740	PA4274	1.5
17903	PA2741	PA4482	1.5
17904	PA3134	PA4239	1.5
17905	PA3134	PA4245	1.5
17906	PA3653	PA5049	1.5
17907	PA3700	PA4256	1.5
17908	PA3814	PA5320	1.5
17909	PA4273	PA4666	1.5
17910	PA4482	PA4563	1.5
17911	PA4482	PA4568	1.5
17912	PA4567	PA4932	1.5
17913	PA4568	PA4932	1.5
17914	PA0008	PA3653	1.5
17915	PA0008	PA3997	1.5
17916	PA0105	PA2638	1.5
17917	PA0132	PA0402	1.5
17918	PA0132	PA0651	1.5
17919	PA0132	PA4443	1.5
17920	PA0228	PA2509	1.5
17921	PA0245	PA5213	1.5
17922	PA0247	PA0887	1.5
17923	PA0247	PA2623	1.5
17924	PA0266	PA5046	1.5
17925	PA0293	PA0393	1.5
17926	PA0293	PA0932	1.5
17927	PA0293	PA1843	1.5
17928	PA0293	PA5025	1.5
17929	PA0293	PA5206	1.5
17930	PA0303	PA3607	1.5
17931	PA0316	PA4443	0.5
17932	PA0316	PA5203	1.5
17933	PA0399	PA3735	1.5
17934	PA0401	PA5336	1.5
17935	PA0402	PA0651	1.5
17936	PA0408	PA4547	1.5
17937	PA0420	PA2907	1.5
17938	PA0504	PA0761	1.5
17939	PA0504	PA5223	1.5
17940	PA0546	PA3816	1.5
17941	PA0546	PA5421	1.5
17942	PA0552	PA2003	1.5
17943	PA0609	PA3121	1.5
17944	PA0649	PA0932	1.5
17945	PA0649	PA2321	1.5
17946	PA0649	PA3165	1.5
17947	PA0651	PA2249	1.5
17948	PA0651	PA4938	1.5
17949	PA0662	PA1002	1.5
17950	PA0761	PA1276	1.5
17951	PA0854	PA5417	1.5
17952	PA0870	PA3816	1.5
17953	PA0887	PA2445	1.5
17954	PA0944	PA5338	1.5
17955	PA0944	PA5420	0.5
17956	PA1013	PA1543	1.5
17957	PA1013	PA4397	1.5
17958	PA1456	PA4547	1.5
17959	PA1757	PA2623	1.5
17960	PA1757	PA4694	1.5
17961	PA1843	PA3165	1.5
17962	PA1927	PA2250	1.5
17963	PA1927	PA4976	1.5
17964	PA1927	PA5206	1.5
17965	PA2012	PA2623	1.5
17966	PA2250	PA2943	1.5
17967	PA2250	PA5066	1.5
17968	PA2709	PA5429	1.5
17969	PA2741	PA4935	1.5
17970	PA2744	PA4808	1.5
17971	PA2948	PA4397	1.5
17972	PA2961	PA4042	1.5
17973	PA3005	PA5118	1.5
17974	PA3108	PA5413	1.5
17975	PA3120	PA5323	1.5
17976	PA3121	PA5143	1.5
17977	PA3167	PA5013	1.5
17978	PA3582	PA3629	1.5
17979	PA3646	PA5453	1.5
17980	PA3802	PA3987	1.5
17981	PA3816	PA4694	1.5
17982	PA3816	PA4729	1.5
17983	PA3816	PA4846	1.5
17984	PA3816	PA5278	1.5
17985	PA4007	PA5223	1.5
17986	PA4125	PA4901	1.5
17987	PA4397	PA5223	1.5
17988	PA4443	PA4976	1.5
17989	PA0018	PA0432	1.5
17990	PA0018	PA1010	1.5
17991	PA0018	PA1585	1.5
17992	PA0018	PA1681	1.5
17993	PA0018	PA2619	1.5
17994	PA0018	PA2629	1.5
17995	PA0018	PA2741	1.5
17996	PA0018	PA3151	1.5
17997	PA0018	PA3162	1.5
17998	PA0018	PA4433	1.5
17999	PA0018	PA4563	1.5
18000	PA0018	PA4567	1.5
18001	PA0018	PA4568	1.5
18002	PA0018	PA4665	1.5
18003	PA0018	PA4666	1.5
18004	PA0018	PA4741	1.5
18005	PA0018	PA5039	1.5
18006	PA0018	PA5049	1.5
18007	PA0018	PA5119	1.5
18008	PA0019	PA4484	1.5
18009	PA0342	PA5338	1.5
18010	PA0771	PA4482	1.5
18011	PA0904	PA3700	1.5
18012	PA1794	PA4237	1.5
18013	PA1795	PA2978	1.5
18014	PA1796	PA4272	1.5
18015	PA1796	PA5338	1.5
18016	PA2118	PA2739	1.5
18017	PA2612	PA2978	1.5
18018	PA2617	PA4256	1.5
18019	PA2617	PA4272	1.5
18020	PA2617	PA4274	1.5
18021	PA2619	PA2978	1.5
18022	PA2619	PA4264	1.5
18023	PA2619	PA5570	1.5
18024	PA2626	PA4275	1.5
18025	PA2739	PA4273	1.5
18026	PA2740	PA2978	1.5
18027	PA2740	PA4257	1.5
18028	PA2978	PA3700	1.5
18029	PA2978	PA4239	1.5
18030	PA2978	PA4245	1.5
18031	PA2978	PA4563	1.5
18032	PA2978	PA4567	1.5
18033	PA2978	PA4666	1.5
18034	PA3134	PA4247	1.5
18035	PA3134	PA4259	1.5
18036	PA3162	PA4482	1.5
18037	PA3528	PA4264	1.5
18038	PA3637	PA5338	1.5
18039	PA3700	PA4237	1.5
18040	PA3700	PA4264	1.5
18041	PA3700	PA4267	1.5
18042	PA3743	PA4264	1.5
18043	PA3814	PA3997	1.5
18044	PA3834	PA4256	1.5
18045	PA3834	PA4759	1.5
18046	PA4237	PA4666	1.5
18047	PA4241	PA4484	1.5
18048	PA4244	PA4560	1.5
18049	PA4245	PA4482	1.5
18050	PA4257	PA4665	1.5
18051	PA4257	PA4666	1.5
18052	PA4274	PA4666	1.5
18053	PA4482	PA4741	1.5
18054	PA4484	PA4665	1.5
18055	PA4560	PA5322	1.5
18056	PA4744	PA4942	1.5
18057	PA4845	PA5316	1.5
18058	PA4964	PA5319	1.5
18059	PA4996	PA5450	1.5
18060	PA4997	PA5009	1.5
18061	PA5049	PA5489	1.5
18062	PA5240	PA5297	1.5
18063	PA5240	PA5420	1.5
18064	PA5320	PA5351	1.5
18065	PA0580	PA1671	1.5
18066	PA0771	PA2978	1.5
18067	PA0771	PA4257	1.5
18068	PA0956	PA3997	1.5
18069	PA1459	PA1461	1.5
18070	PA1809	PA1811	1.5
18071	PA2612	PA4768	1.5
18072	PA2740	PA4258	1.5
18073	PA2741	PA4743	1.5
18074	PA4240	PA4672	1.5
18075	PA4241	PA4743	1.5
18076	PA4560	PA5039	1.5
18077	PA0582	PA3439	1.5
